time,y
0.00,500.001
0.10,500.100
0.20,499.667
0.30,499.113
0.40,498.988
0.50,498.278
0.60,498.264
0.70,498.267
0.80,496.615
0.90,495.717
1.00,495.340
1.10,494.243
1.20,492.990
1.30,491.245
1.40,490.372
1.50,489.311
1.60,486.771
1.70,485.596
1.80,483.157
1.90,481.648
2.00,479.459
2.10,478.251
2.20,475.626
2.30,474.188
2.40,471.826
2.50,469.250
2.60,465.584
2.70,463.973
2.80,461.521
2.90,458.806
3.00,455.090
3.10,452.624
3.20,449.284
3.30,446.180
3.40,443.829
3.50,439.510
3.60,436.415
3.70,433.293
3.80,428.880
3.90,425.339
4.00,421.575
4.10,417.579
4.20,412.863
4.30,409.345
4.40,405.719
4.50,399.900
4.60,396.640
4.70,391.708
4.80,386.668
4.90,383.231
5.00,377.756
5.10,371.821
5.20,367.406
5.30,362.507
5.40,356.876
5.50,351.965
5.60,346.146
5.70,340.970
5.80,335.715
5.90,328.919
6.00,323.522
6.10,317.253
6.20,311.515
6.30,304.727
6.40,298.802
6.50,292.666
6.60,286.788
6.70,280.387
6.80,272.531
6.90,266.076
7.00,259.978
7.10,251.743
7.20,245.493
7.30,238.564
7.40,232.031
7.50,224.438
7.60,216.524
7.70,208.998
7.80,201.455
7.90,194.641
