time,x,y
0.00,-0.128,0.025
0.10,1.479,2.816
0.20,3.245,6.186
0.30,4.669,9.316
0.40,6.207,12.791
0.50,7.488,15.551
0.60,9.366,18.405
0.70,10.774,21.748
0.80,12.784,23.921
0.90,14.145,26.675
1.00,15.444,28.844
1.10,17.137,32.342
1.20,18.304,34.517
1.30,20.173,36.723
1.40,21.287,38.726
1.50,22.875,40.484
1.60,23.700,42.281
1.70,25.556,43.740
1.80,26.285,45.180
1.90,27.494,46.505
2.00,29.298,48.006
2.10,30.375,48.596
2.20,31.920,49.097
2.30,33.739,49.432
2.40,33.978,49.711
2.50,35.168,50.481
2.60,36.510,50.053
2.70,37.653,49.626
2.80,38.473,49.011
2.90,39.446,48.096
3.00,40.662,47.533
3.10,41.510,46.751
3.20,41.906,45.124
3.30,43.013,43.747
3.40,43.826,42.150
3.50,44.234,40.484
3.60,45.319,38.048
3.70,45.630,36.378
3.80,46.780,33.971
3.90,47.102,32.137
4.00,47.580,29.158
4.10,47.837,26.964
4.20,48.394,24.545
4.30,48.197,21.195
4.40,48.775,18.226
4.50,49.493,15.508
4.60,48.967,12.434
4.70,50.032,9.071
4.80,49.378,6.405
4.90,50.202,3.744
5.00,49.746,-0.077
5.10,50.209,-3.200
5.20,49.941,-6.580
5.30,49.317,-9.273
5.40,49.980,-12.809
5.50,49.817,-15.783
5.60,49.095,-18.022
5.70,48.714,-21.561
5.80,48.381,-23.763
5.90,47.722,-26.334
6.00,47.882,-29.311
6.10,46.881,-31.705
6.20,46.473,-33.642
6.30,45.650,-36.507
6.40,45.054,-38.704
6.50,44.167,-40.857
6.60,44.192,-42.204
6.70,42.991,-43.372
6.80,42.506,-44.953
6.90,41.358,-46.771
7.00,40.243,-47.809
7.10,39.410,-48.580
7.20,38.358,-49.027
7.30,37.508,-49.667
7.40,36.336,-49.837
7.50,35.265,-49.911
7.60,33.814,-49.991
7.70,32.824,-49.618
7.80,32.367,-49.052
7.90,30.444,-48.454
8.00,29.073,-47.402
8.10,28.205,-45.928
8.20,27.214,-45.064
8.30,25.016,-43.799
8.40,24.025,-42.722
8.50,22.510,-40.334
8.60,20.761,-39.110
8.70,20.078,-36.871
8.80,18.399,-33.971
8.90,16.958,-31.659
9.00,15.225,-29.434
9.10,14.086,-27.304
9.20,12.273,-24.199
9.30,10.864,-21.493
9.40,9.037,-18.215
9.50,7.457,-14.774
9.60,6.667,-12.369
9.70,4.553,-9.603
9.80,3.227,-6.618
9.90,1.560,-3.156
10.00,-0.132,-0.053
10.10,-1.723,2.794
10.20,-2.951,6.302
10.30,-4.796,9.024
10.40,-6.312,12.768
10.50,-7.815,15.770
10.60,-9.016,18.732
10.70,-10.703,21.147
10.80,-12.320,24.242
10.90,-14.119,26.752
11.00,-15.865,29.273
11.10,-16.652,31.769
11.20,-18.116,33.837
11.30,-19.900,36.015
11.40,-21.126,38.764
11.50,-22.465,40.393
11.60,-23.838,42.281
11.70,-25.176,44.116
11.80,-26.928,44.721
11.90,-27.650,46.254
12.00,-29.763,47.605
12.10,-30.387,48.547
12.20,-31.723,49.001
12.30,-32.804,49.914
12.40,-33.664,49.964
12.50,-34.910,49.636
12.60,-36.792,49.622
12.70,-38.012,49.847
12.80,-38.281,49.254
12.90,-39.812,47.859
13.00,-40.455,47.957
13.10,-41.102,46.668
13.20,-42.710,45.644
13.30,-43.670,43.700
13.40,-43.738,42.128
13.50,-44.537,40.113
13.60,-45.315,39.287
13.70,-45.876,36.396
13.80,-46.747,34.704
13.90,-47.498,31.677
14.00,-47.603,29.438
14.10,-48.306,26.290
14.20,-48.922,23.973
14.30,-48.644,21.584
14.40,-49.133,18.031
14.50,-49.262,15.773
14.60,-49.903,12.536
14.70,-49.976,9.056
14.80,-50.201,6.116
14.90,-50.241,3.002
15.00,-49.941,-0.015
15.10,-50.210,-3.300
15.20,-49.795,-6.515
15.30,-49.676,-9.460
15.40,-48.998,-12.743
15.50,-49.802,-15.838
15.60,-48.848,-18.421
15.70,-48.823,-21.024
15.80,-48.433,-24.546
15.90,-48.450,-26.790
16.00,-47.691,-29.584
16.10,-46.821,-32.164
16.20,-46.514,-33.971
16.30,-45.863,-36.604
16.40,-45.329,-38.076
16.50,-44.204,-40.685
16.60,-43.822,-42.100
16.70,-43.697,-43.884
16.80,-42.424,-45.468
16.90,-41.945,-46.313
17.00,-41.426,-47.599
17.10,-39.667,-48.248
17.20,-38.126,-49.129
17.30,-37.491,-49.931
17.40,-36.800,-49.932
17.50,-35.638,-49.984
17.60,-33.888,-49.614
17.70,-33.018,-49.878
17.80,-31.857,-49.126
17.90,-30.661,-48.946
18.00,-29.378,-47.357
18.10,-27.863,-46.813
18.20,-26.626,-45.783
18.30,-25.387,-43.833
18.40,-24.401,-41.885
18.50,-22.546,-40.908
18.60,-21.494,-38.852
18.70,-19.529,-36.671
18.80,-18.788,-34.566
18.90,-16.978,-31.757
19.00,-15.453,-29.631
19.10,-14.347,-27.008
19.20,-11.918,-23.913
19.30,-10.469,-21.516
19.40,-9.508,-18.276
19.50,-7.590,-15.742
19.60,-6.153,-12.798
19.70,-5.489,-9.920
19.80,-3.064,-5.708
19.90,-1.589,-3.236
